operand,binade_exp,count
coulomb_qq,-1,8
coulomb_qq,0,493
coulomb_qq,1,1781
coulomb_qq,2,20810
coulomb_qq,3,132952
coulomb_qq,4,327349
coulomb_qq,5,5454147
coulomb_qq,6,5432931
coulomb_qq,7,1437022
coulomb_qq,8,30638
coulomb_qq,9,596
coulomb_term,0,38
coulomb_term,1,1114
coulomb_term,2,9993
coulomb_term,3,57353
coulomb_term,4,169905
coulomb_term,5,3503657
coulomb_term,6,5275614
coulomb_term,7,2943709
coulomb_term,8,747236
coulomb_term,9,127465
coulomb_term,10,1557
coulomb_term,11,1086
lj_c12,-22,1
lj_c12,-19,12
lj_c12,-18,22
lj_c12,-17,10
lj_c12,-16,58
lj_c12,-15,159
lj_c12,-14,145
lj_c12,-13,258
lj_c12,-12,109
lj_c12,-11,88
lj_c12,-10,33
lj_c12,-9,5
lj_c6,-10,1
lj_c6,-8,34
lj_c6,-7,24
lj_c6,-6,266
lj_c6,-5,310
lj_c6,-4,213
lj_c6,-3,52
lj_force,-15,1
lj_force,-13,2
lj_force,-12,2
lj_force,-11,6
lj_force,-10,335
lj_force,-9,260
lj_force,-8,6342
lj_force,-7,15395
lj_force,-6,28994
lj_force,-5,560624
lj_force,-4,730279
lj_force,-3,585894
lj_force,-2,409718
lj_force,-1,298941
lj_force,0,257160
lj_force,1,243094
lj_force,2,26874
lj_force,3,11691
lj_force,4,11026
lj_force,5,10884
lj_force,6,11081
lj_force,7,13129
lj_force,8,9503
lj_force,9,1638
lj_force,10,11
lj_rinv6,1,2563203
lj_rinv6,2,1795840
lj_rinv6,3,1269260
lj_rinv6,4,897141
lj_rinv6,5,635192
lj_rinv6,6,459953
lj_rinv6,7,329951
lj_rinv6,8,229151
lj_rinv6,9,156728
lj_rinv6,10,114477
lj_rinv6,11,72333
lj_rinv6,12,37282
lj_rinv6,13,13461
lj_rinv6,14,11033
lj_rinv6,15,12309
lj_rinv6,16,6305
lj_rinv6,17,270
lj_rinv6,18,31
lj_rinv6,19,139
lj_rinv6,20,40
lj_term12,-22,83
lj_term12,-21,157
lj_term12,-20,142
lj_term12,-19,1055
lj_term12,-18,4571
lj_term12,-17,5353
lj_term12,-16,10389
lj_term12,-15,27945
lj_term12,-14,249782
lj_term12,-13,285214
lj_term12,-12,305260
lj_term12,-11,355427
lj_term12,-10,330142
lj_term12,-9,279053
lj_term12,-8,229287
lj_term12,-7,189652
lj_term12,-6,156515
lj_term12,-5,130849
lj_term12,-4,112974
lj_term12,-3,99701
lj_term12,-2,88726
lj_term12,-1,77240
lj_term12,0,67275
lj_term12,1,56924
lj_term12,2,45915
lj_term12,3,34429
lj_term12,4,25039
lj_term12,5,18068
lj_term12,6,14529
lj_term12,7,14548
lj_term12,8,13277
lj_term12,9,3320
lj_term12,10,43
lj_term6,-10,323
lj_term6,-9,234
lj_term6,-8,6265
lj_term6,-7,15241
lj_term6,-6,28349
lj_term6,-5,556670
lj_term6,-4,724007
lj_term6,-3,579725
lj_term6,-2,400543
lj_term6,-1,279351
lj_term6,0,206417
lj_term6,1,162215
lj_term6,2,117067
lj_term6,3,73061
lj_term6,4,38747
lj_term6,5,28442
lj_term6,6,16162
lj_term6,7,65
nb_force_acc,-25,4
nb_force_acc,-24,1
nb_force_acc,-23,4
nb_force_acc,-21,7
nb_force_acc,-20,2
nb_force_acc,-19,10
nb_force_acc,-18,51
nb_force_acc,-17,66
nb_force_acc,-16,98
nb_force_acc,-15,261
nb_force_acc,-14,597
nb_force_acc,-13,938
nb_force_acc,-12,1928
nb_force_acc,-11,4266
nb_force_acc,-10,8269
nb_force_acc,-9,16156
nb_force_acc,-8,29234
nb_force_acc,-7,53479
nb_force_acc,-6,76581
nb_force_acc,-5,95473
nb_force_acc,-4,117763
nb_force_acc,-3,146833
nb_force_acc,-2,181255
nb_force_acc,-1,235955
nb_force_acc,0,322131
nb_force_acc,1,447423
nb_force_acc,2,641534
nb_force_acc,3,942897
nb_force_acc,4,1427522
nb_force_acc,5,1897856
nb_force_acc,6,2611567
nb_force_acc,7,3851214
nb_force_acc,8,4956830
nb_force_acc,9,4589659
nb_force_acc,10,2672674
nb_force_acc,11,930268
nb_force_acc,12,87407
nb_force_acc,13,47
nb_fscal,-22,2
nb_fscal,-21,3
nb_fscal,-20,2
nb_fscal,-19,7
nb_fscal,-18,6
nb_fscal,-17,18
nb_fscal,-16,37
nb_fscal,-15,70
nb_fscal,-14,150
nb_fscal,-13,325
nb_fscal,-12,654
nb_fscal,-11,1204
nb_fscal,-10,2752
nb_fscal,-9,8069
nb_fscal,-8,26218
nb_fscal,-7,415410
nb_fscal,-6,928306
nb_fscal,-5,1126147
nb_fscal,-4,1332176
nb_fscal,-3,1283364
nb_fscal,-2,1166843
nb_fscal,-1,1071545
nb_fscal,0,994744
nb_fscal,1,923539
nb_fscal,2,859916
nb_fscal,3,780319
nb_fscal,4,641676
nb_fscal,5,559436
nb_fscal,6,490063
nb_fscal,7,416186
nb_fscal,8,356050
nb_fscal,9,290940
nb_fscal,10,255916
nb_fscal,11,109220
nb_fscal,12,43270
nb_fscal,13,38277
nb_fscal,14,6311
nb_fscal,15,227
nb_fscal,16,37
rinv,1,12164269
rinv,2,1571452
rinv,3,137354
rinv,4,43853
rinv,11,24899
