operand,binade_exp,count
coulomb_qq,-9,1506
coulomb_qq,-7,5872
coulomb_qq,-6,4977
coulomb_qq,-5,7058
coulomb_qq,-4,22484
coulomb_qq,-3,29804
coulomb_qq,-2,482687
coulomb_qq,-1,279273
coulomb_qq,0,945563
coulomb_qq,1,641364
coulomb_qq,2,1040545
coulomb_qq,3,2218445
coulomb_qq,4,3256100
coulomb_qq,5,1993406342
coulomb_qq,6,2009561358
coulomb_qq,7,503619381
coulomb_qq,8,15658
coulomb_term,-9,5
coulomb_term,-8,1038
coulomb_term,-7,1077
coulomb_term,-6,4573
coulomb_term,-5,5693
coulomb_term,-4,15923
coulomb_term,-3,25546
coulomb_term,-2,367508
coulomb_term,-1,326609
coulomb_term,0,648653
coulomb_term,1,927858
coulomb_term,2,1078361
coulomb_term,3,1939064
coulomb_term,4,2788156
coulomb_term,5,1500793357
coulomb_term,6,1942426494
coulomb_term,7,868991570
coulomb_term,8,169807377
coulomb_term,9,25383182
coulomb_term,10,6373
lj_c12,-37,1
lj_c12,-31,2
lj_c12,-28,2
lj_c12,-27,4
lj_c12,-26,1
lj_c12,-25,2
lj_c12,-24,6
lj_c12,-23,16
lj_c12,-22,7
lj_c12,-21,8
lj_c12,-20,12
lj_c12,-19,17
lj_c12,-18,30
lj_c12,-17,38
lj_c12,-16,2
lj_c12,-15,38
lj_c12,-14,51
lj_c12,-12,12
lj_c12,-11,6
lj_c12,-9,1
lj_c6,-18,1
lj_c6,-15,2
lj_c6,-14,4
lj_c6,-13,5
lj_c6,-12,8
lj_c6,-11,25
lj_c6,-10,9
lj_c6,-9,20
lj_c6,-8,72
lj_c6,-7,10
lj_c6,-6,33
lj_c6,-5,48
lj_c6,-4,18
lj_c6,-3,1
lj_force,-20,1128
lj_force,-19,4522
lj_force,-18,4652
lj_force,-17,4355
lj_force,-16,4494
lj_force,-15,10659
lj_force,-14,15692
lj_force,-13,16922
lj_force,-12,290741
lj_force,-11,298044
lj_force,-10,558005
lj_force,-9,1369739
lj_force,-8,983315
lj_force,-7,101117715
lj_force,-6,118575163
lj_force,-5,84638433
lj_force,-4,59363985
lj_force,-3,42713877
lj_force,-2,30964751
lj_force,-1,21631806
lj_force,0,16685580
lj_force,1,18936683
lj_force,2,722832
lj_force,3,928675
lj_force,4,1137887
lj_force,5,1421283
lj_force,6,1932289
lj_force,7,2466274
lj_force,8,1671163
lj_force,9,232246
lj_force,10,1252
lj_rinv6,-1,412772281
lj_rinv6,0,545298159
lj_rinv6,1,385771392
lj_rinv6,2,271460201
lj_rinv6,3,193683717
lj_rinv6,4,136998934
lj_rinv6,5,96100738
lj_rinv6,6,67150927
lj_rinv6,7,47099898
lj_rinv6,8,33734732
lj_rinv6,9,25845975
lj_rinv6,10,20885792
lj_rinv6,11,14827843
lj_rinv6,12,7412295
lj_rinv6,13,2726641
lj_rinv6,14,2179371
lj_rinv6,15,2196558
lj_rinv6,16,723357
lj_rinv6,17,9469
lj_rinv6,18,6
lj_term12,-40,438
lj_term12,-39,2120
lj_term12,-38,2300
lj_term12,-37,2316
lj_term12,-36,2365
lj_term12,-35,2171
lj_term12,-34,2161
lj_term12,-33,2309
lj_term12,-32,2176
lj_term12,-31,2641
lj_term12,-30,6019
lj_term12,-29,7234
lj_term12,-28,7907
lj_term12,-27,8915
lj_term12,-26,156243
lj_term12,-25,172495
lj_term12,-24,149852
lj_term12,-23,140857
lj_term12,-22,131162
lj_term12,-21,228840
lj_term12,-20,613349
lj_term12,-19,673900
lj_term12,-18,19200291
lj_term12,-17,77294069
lj_term12,-16,65027399
lj_term12,-15,54919251
lj_term12,-14,46556988
lj_term12,-13,39144527
lj_term12,-12,32689237
lj_term12,-11,27329616
lj_term12,-10,23132114
lj_term12,-9,19759090
lj_term12,-8,16787584
lj_term12,-7,13989052
lj_term12,-6,11491231
lj_term12,-5,9511984
lj_term12,-4,8090870
lj_term12,-3,6828506
lj_term12,-2,5760364
lj_term12,-1,4847342
lj_term12,0,4060046
lj_term12,1,3360209
lj_term12,2,2778345
lj_term12,3,2317819
lj_term12,4,1989507
lj_term12,5,1842808
lj_term12,6,2053551
lj_term12,7,2713841
lj_term12,8,2405712
lj_term12,9,500189
lj_term12,10,4850
lj_term6,-20,1128
lj_term6,-19,4520
lj_term6,-18,4646
lj_term6,-17,4350
lj_term6,-16,4480
lj_term6,-15,10644
lj_term6,-14,15632
lj_term6,-13,16808
lj_term6,-12,290465
lj_term6,-11,297553
lj_term6,-10,555904
lj_term6,-9,1367089
lj_term6,-8,979228
lj_term6,-7,100904214
lj_term6,-6,118470812
lj_term6,-5,84486146
lj_term6,-4,59136250
lj_term6,-3,42319478
lj_term6,-2,30350947
lj_term6,-1,20678758
lj_term6,0,14681165
lj_term6,1,10436229
lj_term6,2,7312301
lj_term6,3,5034944
lj_term6,4,3847913
lj_term6,5,4817150
lj_term6,6,2672489
lj_term6,7,2919
nb_force_acc,-31,1
nb_force_acc,-29,1
nb_force_acc,-27,4
nb_force_acc,-26,22
nb_force_acc,-25,16
nb_force_acc,-24,41
nb_force_acc,-23,173
nb_force_acc,-22,271
nb_force_acc,-21,506
nb_force_acc,-20,880
nb_force_acc,-19,1607
nb_force_acc,-18,2866
nb_force_acc,-17,5984
nb_force_acc,-16,11292
nb_force_acc,-15,22782
nb_force_acc,-14,47437
nb_force_acc,-13,93696
nb_force_acc,-12,186594
nb_force_acc,-11,376856
nb_force_acc,-10,747091
nb_force_acc,-9,1435717
nb_force_acc,-8,2758596
nb_force_acc,-7,4368117
nb_force_acc,-6,5660775
nb_force_acc,-5,6658160
nb_force_acc,-4,7982094
nb_force_acc,-3,9892894
nb_force_acc,-2,12876020
nb_force_acc,-1,17877876
nb_force_acc,0,26663590
nb_force_acc,1,42736912
nb_force_acc,2,72913554
nb_force_acc,3,130878288
nb_force_acc,4,242538415
nb_force_acc,5,450110790
nb_force_acc,6,794555959
nb_force_acc,7,1267679358
nb_force_acc,8,1653846299
nb_force_acc,9,1529486374
nb_force_acc,10,809788410
nb_force_acc,11,172367500
nb_force_acc,12,7109385
nb_force_acc,13,512
nb_fscal,-26,1
nb_fscal,-25,2
nb_fscal,-24,6
nb_fscal,-23,7
nb_fscal,-22,13
nb_fscal,-21,34
nb_fscal,-20,46
nb_fscal,-19,81
nb_fscal,-18,211
nb_fscal,-17,435
nb_fscal,-16,805
nb_fscal,-15,17269
nb_fscal,-14,47133
nb_fscal,-13,64821
nb_fscal,-12,143392
nb_fscal,-11,207217
nb_fscal,-10,352502
nb_fscal,-9,574422
nb_fscal,-8,74024817
nb_fscal,-7,259517206
nb_fscal,-6,399689976
nb_fscal,-5,390644280
nb_fscal,-4,374653918
nb_fscal,-3,357343686
nb_fscal,-2,338530671
nb_fscal,-1,318196209
nb_fscal,0,296877801
nb_fscal,1,274970481
nb_fscal,2,252818641
nb_fscal,3,229300038
nb_fscal,4,204278006
nb_fscal,5,177323263
nb_fscal,6,150578085
nb_fscal,7,122716501
nb_fscal,8,96488226
nb_fscal,9,77190849
nb_fscal,10,63486952
nb_fscal,11,34717460
nb_fscal,12,10776345
nb_fscal,13,8727283
nb_fscal,14,1279230
nb_fscal,15,96
